text,intent
this is my first conversation,hru.q
ya ya ya,hobbies.q
hello hello,greeting
how is your day?,hru.q
let's keep this simple,encouragement.s
bye,greeting
this i8 my first conversation,hru.q
ya ya ya,hobbies.q
hello hel1o,greeting
huw is your day ?,hru.q
1et ' s keep this simple,encouragement.s
6ye,greeting
tYis is my first conversation,hru.q
ya ya ya,hobbies.q
nello hello,greeting
how is your day ?,hru.q
let ' s keep this simple,encouragement.s
bye,greeting
this is my Gfirst conversation,hru.q
ya ya ya,hobbies.q
Thello hello,greeting
how is your day ?,hru.q
let ' s keep this simple,encouragement.s
bye,greeting
Jhis is my first conversation,hru.q
ya ya ya,hobbies.q
helBo hello,greeting
how is your day ?,hru.q
let ' s ke2p this simple,encouragement.s
bye,greeting
tihs is my first conversation,hru.q
ya ya ya,hobbies.q
hlelo hello,greeting
how is your day ?,hru.q
let ' s ekep this simple,encouragement.s
bye,greeting
thi is my first conversation,hru.q
ya ya ya,hobbies.q
hell hello,greeting
how is your day ?,hru.q
let ' s keep thi simple,encouragement.s
bye,greeting
this is ma first conversation,hru.q
ya you ya,hobbies.q
hello yellow,greeting
how are your day ?,hru.q
let ' s keep this sample,encouragement.s
bey,greeting
this be my first conversation,hru.q
ya ya ya,hobbies.q
how do you do hello,greeting
how follow your day ?,hru.q
net ball ' s keep this simple,encouragement.s
au revoir,greeting
this is my f irst conversation,hru.q
ya ya ya,hobbies.q
he llo hello,greeting
how is yo ur day ?,hru.q
let ' s keep this sim ple,encouragement.s
bye,greeting
